texto,sentimiento
Que pendejo es trabajar en el centro de tu ciudad… te das cuenta de absolutamente todo,negativo
no es tu culpa x ser bella es la mia x ser pendejo,negativo
"Dos de la mañana y ya tengo a un paciente desorientado (desde hace rato) pero ahora se ha arrancado la via y la metio en el cajon. Que no pasen mas desgracias, por favor.",negativo
Me levante tan desorientado marica que mi mama me llamo y pense que era el dia siguiente a las 6 am,negativo
"Mi columna de mañana en La Republica se llama ""Un presidente desorientado"". La primera del 2024. Mañana nos leemos.",negativo
"Me cuesta tanto actualizarme cuando despierto despues de dormir, demasiado desorientado",negativo
"Pobrete! cuando eres un crio,tener la responsabilidad de una madre como estaba la suya,debe ser horroroso.Como no va a ser un chico triste y desorientado? Pareceis lobos hambrientos,los colaboradores .Un poco de compasion no os vendria mal#DeViernes5E",negativo
desorientado cayendo en los brazos del primer hombre que vea,negativo
Entre mas desorientado mejor la siesta,negativo
Hace mas de 15 dias fue el “conclave” de Petro para evaluar ministros. nada ha pasado. ¿Sera que esta tan desorientado que piensa que su gabinete esta bien conformado? ¿El desastre de Mindeportes y la licitacion de pasaportes no merecen un cambio en esas carteras?,negativo
@guajirabikechallenge hola,negativo
"Pa que fume ese maldito cogollo, me dejo desorientado jajajajajaja",negativo
"He perdido varias oportunidades, ya no va a pasar mas",negativo
No quiero saber de cocina por todo lo que cocine en cuarentena. El mundo ha perdido una buena chef ?????. ???????????,negativo
Ando buscando lo que no se me ha perdido,negativo
aca hablando cn el hermano perdido de ke personaje,negativo
"???? Que se siga luchando por los Juegos Panamericanos @petrogustavo, que no se de nada por perdido. A los que siempre hemos recibido ‘Noes’ y rechazos y los tenemos que convertir Sies. Miles de veces se lucha. @AlejandroChar NO tirar la toalla. Barranquilla lo merece!!!",negativo
con algunas personas perdemos el tiempo con otras perdemos la nocion del tiempo y con otras recuperamos el tiempo perdido #Bamba?kaBiri,negativo
Por andar buscando lo que no se me ha perdido,negativo
"La verdad no me comporte como mama me enseño, pero estaba perdido y aun sigo perdido, lo siento mi amor",negativo
"Leyendo las tantas locuras sesgadas por el fanatismo donde se le echa la culpa a Henry Blanco por haber perdido el juego de hoy donde por lo general Lara da 14 hit y no dio el batazo oportuno, y de igual manera el tiro malo del Short a primera son hechas por jugador, no por el MG",negativo
Oigan que el Lara Termino Primero en clasificacion para Round Robin y ahorita a perdido los 4 juegos siendo ultimo,negativo
No se ha terminado la primer semana del año y @petrogustavo ya lleva un mega escandalo. Por trabajo no se preocupen señores periodistas que este atolondrado es una maquina para generar escandalos. @NestorMoralesC @VickyDavilaH @darcyquinnr @gusgomez1701,negativo
La voz de mi novio en ingles me excita.,negativo
"Se lo que vas a decir papa y creeme, estoy de acuerdo contigo. No hay excusa para lo que acabo de hacer. Fui un inmaduro y atolondrado, y en verdad lo siento. Yo solo...espero que a pesar de todo me des una oportunidad, Que, admito, no merezco.",negativo
"Putas madres, ya van varios mjes x @WhatsApp o @telegram para invitarme a obtener $$$ extra dando like's a publicaciones. ¿Saben que? Hay 30M de pendejos que creen en @lopezobrador_ vayan y chinguenlos a ellos, YO si me baño si estudie y no estoy atolondrado ni atolizado",negativo
Cuando se fue Fernandes un kilo de yerba valia $850 y ahora que esta este loco una verguenza un kilo de yerba vale la mas barata $2.550 da verguenza este atolondrado,negativo
"Soy tan tarao, que hice hervir huevos y en un momento de salir atolondrado, los guarde entreverados con el resto. Ahora no se cual es crudo y cual cocido ??",negativo
soy 1 pendejo fantasioso poco aterrizado soñador idealista atolondrado obsesivo desgraciado credulo,negativo
"Lo que pasa despues de trabajar con un titan, se vuelve atolondrado #nv",negativo
Que chingue a su madre el choripan.,negativo
"Un momento atolondrado.. nerviosos .. con expectativas y verguenza de halagar, por si esta acostumbrado a algo mejor .. verguenza de no saber.. de quedar en falta ..",negativo
El ultimo año y medio ha sido un laberinto desorientador.,negativo
Es muy desorientador que hoy basicamente sea JUEVES ?????,negativo
"Es cierto que la opresion de las mujeres ha sido horrible a lo largo de la historia. Sin embargo, no me gusta nada cuando la critica se centra en el concepto de ""derecho"" en clave universalista. Es desorientador y anacronico. Creo que se pierde mucho +",negativo
Estoy hasta el pot*rro del desorientador de mi cole. Se cree por encima de los maestros (dicho por el). #maestros #escuela #indignada,negativo
"Solo te pido una señal, un incentivo para poder seguir adelante en este camino que recorri durante todo este tiempo, camino desorientador irregular pero esclarecedor, dame las fuerzas y la seguridad en mi para seguir aqui",negativo
Es realmente desorientador y desolador como nos rompemos el orto por llegar a fin de mes y que nunca alcance. Sumale que las elecciones lejos estan de representar esperanza o cambios dios que triste que estoy,negativo
"el panorama es totalmente desorientador, una tristeza la verdad",negativo
Despertarse en la noche es lo mas desorientador de la vida jajajajajj crei que eran las 5am ??,negativo
"Llega un momento en el que uno siente que no es su propio camino el que esta haciendo, sino el camino de las expectativas de los demas ... Despertar de ese mood es desorientador, doloroso pero tan necesario. La pregunta siguiente es : ¿Que quiero hacer de mi destino?",negativo
"Es muy... desorientador despertar por las mañanas sin la presion de la deadline. Para los que fueron siguiendo mi descenso a la demencia este ultimo año, comprenderan lo mucho que me inquieta la idea de que en pocas semanas voy a tener que sentarme a escribir una nueva novela.",negativo
otra vez que vemos el amanecer desperte contigo enredado en tu piel mami yo no se cuando esto vuelva a ser es que la vida es corta desnudate otra vez,negativo
Me desperte contigo enredado a tu pieeel,negativo
"- Yo tampoco, lo vine siguiendo y logramos quitarle un plastico enredado en la cola. Explica dando toquecitos con el dedo al animal.",negativo
"¿Como va su 2024? El mio como enredado, pero algo se hace.",negativo
"Estaba renegando porque la nena tiene asqueroso el pelo de enredado y todavia con las trenzas y mi hermano dice ""y bueno a vos te gusta dejarla una semana"". Sin comentarios la verdad",negativo
Cuando vean a alguien enredado o complicandose. No lo regañen o lo presionen. Enseñenle a como manejar la situacion y como resolverlo manteniendo la calma. Recuerda... En algun momento tu estuviste la misma situacion.,negativo
"San Lombana le dice ladron o ladrona al que el le da la gana,cuando a el le da la gana y como a el le da la gana Ah..pero sale un simple videito?? bien happy??hablando lento?? enredado??con la mirada perdida??y ya llevan 5 dias: Ay Dios mio??????estan haciendo campaña sucia????",negativo
¿Habla muy enredado? Perdon.,negativo
Como hacen las q usan pelucas o extensiones para no tenerlo enredado 24/7 no entiendo,negativo
"De 88millones bajo a 14 de un dia para otro, tantos numeros lo tienen enredado ??",negativo
"Donde se que lo de los rituales de Epstein son paja? Ningun pagano comprometido al nivel de hacer sacrificio de niños lo hara en nombre de una entidad que su unica referencia es biblica, apenas un dios obscuro cananeo (de paso) y cuyo dominio nisiquiera esta claro.",negativo
"Miro luces en lo obscuro, mami tu eres mi conjuro, tu cintura me pone relax",negativo
Entre el resplandor de mil soles bajo el obscuro manto de la noche entre el ruido ensordecedor y las multitudes andando solo tu mirada prevalece solo tu sonrisa ilumina La estrella mas hermosa en la GALaxia la estrella mas hermosa la dueña de mis pensamientos.,negativo
"Adios cabello rubio, hola castaño obscuro (Halaguenme)",negativo
Nomas uso el tema obscuro en las noches pq si no paso a 47828282 de miopia,negativo
Prefiero lo obscuro pero contigo todo lo ilumino??,negativo
me mama el cabello obscuro pero como que el rojo se me veia mejor,negativo
indo no parque e levando a hq??????,negativo
Me frustra tener que hacer el proceso de eleccion de paleta de color para algun logotipo. Creo que soy pesima para los colores. Por eso me la vivo vistiendo puro color obscuro. Bi bala ovskuridat.,negativo
que mierdisima que a las 6pm ya este obscuro ??,negativo
Soy una maquina de generar pensamientos ansiosos,negativo
"Cada dia que pasa mas qsco me d ala gente, voy a terminar siendo un marginado que vive encerrado en su casa y no tiene amigos, igual que ahora pero peor",negativo
"Coincido con JuanGra, Guzman estuvo y esta a la izquierda de Massa, haberlo criticado y marginado fue un error, Sergio Tomas fue mucho mas pragmatico con el y no consiguio ningun tipo de resultados",negativo
Ya pegaron la vuelta de abrazarse a Scioli cuando quedo marginado de las paso y era un cuadrazo politico y ahora volvio a ser un quebrado y facho que es mas o menos lo que de verdad pensaba el cristinismo sobre el desde circa 2011,negativo
"Merida tierra de Anarquia los ""moteros"" de nuevo haciendo de las suyas en el Municipio Libertador... Otro año mas el merideño es marginado y pisados sus derechos por estos ""turistas"" que vienen a molestar corriendo por las avenidas sin control y sin supervision,",negativo
cuando he quedado con mi amiga y le he dicho que votara otra vez a paul y me ha dicho “pero quieres que le vote porque esta marginado? esq me ha salido un tiktok diciendo eso” HE ESTALLADO,negativo
Vicky: Paul sale del grupo y os unis todos joder que forma mas directa de llamarlo marginado #OTDirecto4E,negativo
creo que esta noche toca ver por fin las ventajas de ser un marginado (espero que no me deje igual que cuando me acabe el libro),negativo
Marginado... seria yo? Nose,negativo
lo marginado socialmente que me siento por no estar siguiendo este gh,negativo
ay no soy muy celosillo mejor si me quedo soltero,negativo
creo que soy el unico gay que sigue soltero,negativo
soltero y divorciado con cinco hijos,negativo
Te lo corregimos sinkieres porke ese wey ke ewta ahi es bien perro estricto con esos estatus de solteria viudo soltero divorcisdonanonimo y edoectador. Ke es el sistema de recoleccionnde basura del guero y donde estan los abogados busca asesinos y vanos sueltos.,negativo
"JAKAJAJA licha dice que manden un soltero lindo y que no sea histerico para denisse, tal cual #GranHermano",negativo
Definitivamente es que estar tanto tiempo soltero e intentar hablar con alguien es muy complicado,negativo
Por ciertas actitudes me doy cuenta porque sigo soltero,negativo
POR AMORES COMO EL TUYO MEJOR ME QUEDE SOLTERO.,negativo
estado civil: ?casado ?soltero ?desaprovechado,negativo
Sera este el fin de Sebastian soltero? ??,negativo
"La neta del Planeta, es que el Gobierno ha abandonado a su Pueblo y lo deja sumido en la ignorancia y en una nula capacidad de gestion para salir de su inhumana condicion! La oposicion tiene el imperativo de aplicarse con un discurso reivindicador!",negativo
"lo peor q hizo esta novelita de mierda es haber abandonado la trama de la banda para centrarse en los mismos cliches de siempre, tenian algo buenisimo y lo cagaron #BuenosChicos",negativo
"Vuelvo a leer una no tan vieja polemica literaria. Encuentro la palabra ""absurdizar"". Por eso los dioses de la elocuencia nos han abandonado.",negativo
"Que hago con esta necesidad de afecto, me siento como un perrito abandonado que nadie quiere",negativo
tengo tuiter medio abandonado,negativo
"Vivo dando vueltas a tu alrededor, como un perro abandonado que a la calle te siguio",negativo
me re preocupa leer el temita de MM y Villaruel porque ya nada se queda en una teoria conspirativa en este pais abandonado por Dios,negativo
"Me dormi con lam, puse escape perfecto y me acabo de despertar hasta gh termino y todo en el sillon, despidanse de mi cuello que nos ha abandonado",negativo
"madurar es aprender a decir q todos los trabajos cuantan igual . todos nos esforzamos por solo 1€ en el bolsillo . tanto personas sin estudios, estudiantes y personas que trabajan de un titulo universitario. lo importante es esforzarse en esta vida . y no ser un abandonado .",negativo
"El ""perdon por haberte abandonado"" de mi mama, sano a mi yo de 16 años ??",negativo
Y yo que llevaba el telefono para no estar incomunicado ????,negativo
"@2011rafaelhomez URGENTE detenido capitan retirado Anyelo Julio Heredia Gervasio entre Cucuta y San Antonio del Tachira,!oficial esta bajo custodia de la DGCIM. Detienen al TCnel GNB Jose Rafael Gallardo Pacheco preso e incomunicado en la sede Boleita",negativo
"El diavlo, archive casi tds mis contactos de WhatsApp, elimine a casi todos de ig, silencie messenger, incomunicado quede ??",negativo
"ya me voy por que noi me dejaron cargar la computadora estoy incomunicado y no puedo decir que me hacen..., y insiten que estsoy endrogado... que me seguiran cuando me vaya ... la policia terrorista es solo con miedo paso... y no me dejan de amenazar que me arrestaran...facismo",negativo
¡No te quedes sin bateria en tu movil! Ahorraras tiempo y evitaras el estres de quedarte incomunicado. Siempre lleva un cargador portatil contigo. ???? #ConsejoDelDia #TipsParaLaVida,negativo
"una pensaria que vivir en un pueblo incomunicado del norte de extremadura le haria ahorrar pero claro, resulta que aqui veranean los ricos y esta todo overpriced",negativo
"Que infierno fue estar sin celulae tanto tiempo,osea bien por que aprecie muchas cosas y mal por que estaba incomunicado con todo el mundo",negativo
Imaginate estar de vacaciones con tus niños bajo una nevada y que la compañia @LibertyPR te deje totalmente incomunicado. No internet. No GPS. Nada. Eso es lo que estan viviendo en este momento mi familia. Dos llamadas al servicio al cliente y nada. Horrible.,negativo
"Dios mio, necesito mi telefono. Estoy incomunicado cada vez que salgo. Hasta que llegue a casa.",negativo
"La red de Orange hackeada. Una hora incomunicado. La peli de ""Dejar el mundo atras"" haciendose realidad.",negativo
me escribio un wn q me dejo en ENVIADO como por 4 meses y me dice “holaa cuanto tiempo” si ctm como si te hubierai ido a la jungla 7 años sin tu consentimiento solo y desamparado te podi meter tu cuanto tiempo por el hoyette,negativo
Gutz salvando a un desamparado que perdio su vape,negativo
"Cuando el hombre cayere, no quedara postrado,Porque Jehova sostiene su mano. Joven fui, y he envejecido,Y no he visto justo desamparado,Ni su descendencia que mendigue pan. Salmos 37:24-25",negativo
i cuando te sientas desamparado en la vida solo necesitas hacer roleplay con tu mjor amiga para manifestar (?????????) una charla,negativo
En estos ultimos meses a lo mucho he visto 1 o 2 patrulleros de policia. Guayaquil totalmente desamparado.,negativo
#QUACKITYPLEASE quiero la hamburguesa porque soy un pobre desamparado y no tengo que comer ??????,negativo
"Si, The Holdovers es muy buena, pero las fibras que toca Alexander Payne en The Descendants, con un Clooney magistral y desamparado, son tantisimo mas profundas.",negativo
"Que se lo que significa estar al otro lado de la linea, solo, desamparado, con un hueco en el alma.",negativo
Nunca me haz desamparado????,negativo
A ver pero ya sincero que sientes que haya rechazado tu propuesta,negativo
"como es posible que haya rechazado una farra en un pueblo, me desconozco",negativo
CANCER: Cualquier accion que implique traicionar sus valores debe ser rechazado por usted. Cuidado con los futuro problemas de motricidad por culpa del sedentarismo. Tiene que lograr ese ascenso y para esto es importante mostrar todo su empeño.,negativo
"me acaba de salir una chica en tiktok q hace un año descubrio q su ex le ponia los cuernos porque encontro un pelo rubio de la ex en el asiento del coche. Acaba de contar q el chaval le ha comprado un McLaren y un anillo de compromiso y ha rechazado ambos, mi vida es to mediocre",negativo
Justo lo que necesitaba gracias x hacerme sentir rechazado,negativo
"— No seas idiota, cualquiera que se me acerque con esas intenciones es rechazado. Ya tengo a mis dos chicos, no necesito nada mas. Para que se quede tranquilo. Sonrie al ver las marcas y besa su frente antes de acostarse al lado — Y no me importa, por si alguien te mira de mas.",negativo
Primer sixpack rechazado ??????,negativo
Michael Jackson habria rechazado los masajes de menores que le ofrecio Epstein. “No me gustan las milf” habria señalado.,negativo
"<<Dios ama al hombre y necesita decir esta frase apasionadamente. Nos ama y mendiga nuestro amor. El, este amante rechazado, se presenta para escuchar una palabra de arrepentimiento que expie una vida de rechazos>>",negativo
El ETF de Bitcoin sera aprobado o rechazado por la SEC? $BTC #Bitcoin #BitcoinETFs,negativo
Curso intensivo de envolver regalos,negativo
Serian yo somnoliento diciendole al despertador “Alexa apagate”? - Esto de madrugar me pone mal.,negativo
"? ???Somnoliento, quizas demasiado. La ultima clase le termino fundiendo la poca materia gris que tiene en su cabezota y ahora se las va a quemar aun mas prendiendo un cigarrillo. Esta sentado en uno de los escalones por el exterior de la entrada de la institucion. ?",negativo
Ultimamente me siento muy cansado y somnoliento ...,negativo
ojala fueras el mismo que cuando estas somnoliento,negativo
"estoy : cansado, aturdido, estresado, desorientado, somnoliento, deprimido, desentendido, sonambula, roto, rotisimo, adormecido.",negativo
Aun no supero q comi arroz blanco sin darme cuenta x estar somnoliento,negativo
"que manera de chuparle el pico al weon fome y somnoliento de felipe avello, los culiaos",negativo
Me dañe el horario de sueño. Mañana va a ser un largo y somnoliento dia.,negativo
Estresado. Pero bien. Adormilado. Pero bien. Cansado. ¿Pero bien? Pero bien.,negativo
"— Para desgracia de Sagitario, estaba tan adormilado todavia que solo fue capaz de intuir lo que habia hecho. Alzo una mano, sonriendo de lado. — Estoy de acuerdo contigo. Alegra la vista verte, Xing.",negativo
Ver a Mar con el cabello alborotado en las mañanas y con el rostro adormilado mientras trata de entender lo que le estoy diciendo me esta matando de ternura.,negativo
"?? ? ? ? ? ? ? ? ? ? ? ?Se queda sentado en el suelo, aun algo adormilado. Piensa en lo aburrida que es la mañana cuando no hay casi nadie por los alrededores.",negativo
"Estos ultimos dias he sentido como que literal solo me la he pasado existiendo, vegetando, pero al mismo tiempo como adormilado y me DESESPERA la sensacion de no hacer nada. Segun yo en vacaciones iba a leer y hacer/aprender un chingo, hacer ejercicio y nomas me hice pdjo. ??????",negativo
Una de las ventajas de vivir al lado del Seguro Social es que cada que pasas por esa banqueta hay alguien vomitando en ella. Si sales adormilado en ese preciso momento te abitachas. Es eso o pisar algo asqueroso.,negativo
"Restriega su ojo derecho mientras con la zurda peinaba su cabello, aun adormilado. ???? Buenos dias.",negativo
"Estoy adormilado. Un vato del team dijo algo asi: ""Whenever you have a chance, can you check on rkngbfla?"" Y yo de: ""Check on que?"" ??",negativo
"Me decidi...no voy a costa...con tan poco espacio en la arena, tengo temor que si me quedo adormilado...me pisen las bo... ??",negativo
tengo muchas ganas de ver el final de skins pero tengo medio sueño estos dias entonces no la quiero ver adormilado:(,negativo
"Llevo un año de paranoias que cansado, ¿como aguantan tantos años en el activo trabajando asi!? ?? con razon uno acaba bien crazy",negativo
Estoy cansado jefe,negativo
Estoy cansado jefe. @danteauthor,negativo
Estoy cansado jefe 2,negativo
to cansado teo,negativo
Cansado,negativo
Ya estoy cansado con todo.,negativo
Dios que cansado estoy de verdad,negativo
Que dia horrible estoy muy cansado,negativo
estoy cansado pepe,negativo
?? 70' | 1-1 | Fatigado el equipo amarillo. Recupera muy rapido el FC Barcelona. Partido de apretar los dientes. #LasPalmasBarca | #VamosLasPalmas,negativo
"Two gun Crowley en medio de un tiroteo y estando a punto de morir escribio en una carta: ""Tengo bajo la ropa un corazon fatigado, un corazon bueno: un corazon que a nadie haria daño"". Todo un escorpio de su parte.",negativo
IMPOSIBLR JUGAR OSU CON EL ANTEBRAZO FATIGADO,negativo
"“Tengo bajo la ropa un corazon fatigado, un corazon bueno: un corazon que a nadie haria daño”.",negativo
"Partido espeso, tipico de la vuelta de los polvorones. 3 ptos, campeones de invierno y el sabado, Copa. Muy flojos Modric y Fran Rodry y Vini, con ganas y sin acierto. Bellingham algo fatigado, Kroos y Fede, ni bien ni mal Rudiger, soberbio y Tchou, cumplidor junto con Carva",negativo
"Estoy fatigado, no creo ir al gym (excusa para no hacer piernas)",negativo
Lo fatigado que tengo los brazos quizas esos 8mil litros vinieron con delay,negativo
"Mi borde interno se encuentra completamente fatigado, por lo tanto soy baja por los siguientes 15 dias",negativo
Yo morire no importa que me vea fatigado hasta el cansancio maximo.,negativo
"""La arena del desierto es para el viajero fatigado lo mismo que la conversacion incesante para el amante del silencio."" - Proverbio persa Buenos dias, buena gente",negativo
"Que flojera da buscar pareja a esta edad, ya todxs tuvieron experiencias horrendas que nos traumaron",negativo
que FLOJERA lavar mis zapatos que estan lleningos de barro hasta adentro,negativo
Dios quitame la flojera en el dia de piernas ??,negativo
"Pensamiento de izquierda: No puede ser que mis malas decisiones, mi flojera y mi mediocridad hagan que no tenga plata. Eso no puede ser. Yo jamas puedo estar equivocado El mundo es el que esta en contra mia, es ese capitalismo el que me explota. Hay que cambiar el mundo (yo no)",negativo
"No es flojera, es un estado de ahorro de energia corporal.",negativo
"Chama descansa, no entiendes que das flojera?",negativo
me puse a pelear con alguien en mi main y me da hasta flojera entrar pq pelea por pendejadas ?????? ??,negativo
"Holaaa, hoy tuve la idea de subir colabos no terminadas o colabos que no saldran o simplemente cosas que grabe para probar, tal vez suba mas con el paso de los dias pq ahorita me da flojera subirlas todas xdxd, pero aqui tienen algunas je",negativo
a veces quisiera cambiarme de cuenta pero me da tanta flojera y luego me desaparezco 5 años,negativo
Tengo antojo inmenso de algo pero me da mil flojera sacar la camioneta e ir al Oxxo..??,negativo
"Un hombre que piensa mucho en el exito debe ser el mas soñoliento de los sentimentales, pues debe estar siempre mirando hacia atras. Si solo le gusta la victoria, siempre debe llegar tarde a la batalla. Para el hombre de accion no hay sino el idealismo. ????Chesterton",negativo
"Matt estaba sentado en su escritorio, soñoliento y encorvado. Se espabilo un poco cuando Neil cerro la puerta tras de si y este vio la preocupacion en su rostro, iluminado por el monitor del ordenador. El hecho de que matt se habia quedado despierto a esperarlo ????",negativo
"Acostarte a las 4, levantarte a las 7… deberia estar prohibidooooo!!! Koala cansado, soñoliento y dolorido. Y no, no tomo cafe, asi que a espabilarse naturalmente toca.",negativo
"#sueño de ayer.. en mi depa desperte soñoliento y eran las 9am pero seguia obscuro, 3 personas en mi comedor. Me acerco a la ventana y digo “hoy es el dia, hoy vienen” y veo “luces” de cielo acercarse y los 3 se esfuman de mi comedor.. se los llevaron. #ufo #ovni #abduction ??",negativo
soñoliento o somnoliento?,negativo
"Estoy cansado, soñoliento, ¿me dejas recostarme en tus tetas?",negativo
gente que dia soñoliento pprt,negativo
"Un pensamiento bonito que tengo con quien me gusta es: Pensar que estoy soñoliento, y estar entre sus brazos o arrecostado en su pecho. Significando total confianza y tranquilidad de que esa persona brinda una seguridad a mi.",negativo
¿Va siendo hora de un cafe no? En realidad cualquier momento es bueno para un poco de cafeina en vena. Gato soñoliento ???,negativo
"Se levanta P cejijunto, soñoliento, concentrado en distinguir realidad de sueño. Le empiezo a vacilar: “ uy este niño que serio, madre mia que seriote esta? Por que esta tan serio este chico?”. Me responde: “ Porque soy un galan”. Ah. Vale.",negativo
"Un anciano esta Navidad regala a niños de Tierra Santa vetos, bombas, hambre y enfermedad. Dijo ser un hombre de bondad mas en sus hechos y sus gestos no se hallo traza de humanidad. Circula amodorrado a su edad en sentido contrario a todo cristo dejando un rastro de calamidad.",negativo
"Si me duermo a las 9 me levanto a las 3 fresco como una lechuga. Ah, pero si me duermo a la 1 me levanto a las 7 todo amodorrado y cuasi crudo como si me hubiera ido de peda.",negativo
Ando todo amodorrado y me tengo que bañar.,negativo
"Para remate, el dia habia amanecido amodorrado, cargado de espesas nubes que parecian burros de carga.",negativo
"Te pongo un tirito? Va, que estoy un poco amodorrado despues de la comida No me has entendido",negativo
lo amodorrado que estoy hoy,negativo
"Mi osamenta esta inquieta, desea desmoronarse y no sentir los sentires del cuerpo amodorrado...la mente bendita mente que no la deja descansar...vaya que lo necesita, mente ven a los brazos tibios de la sabana blanca que te arrullara... Insomnio escuchemos a Tchaikovsky ????????",negativo
"——A mi la verdad me ha amodorrado un poco... Suelta un buen bostezo, viendo su almohada volar por el cuarto.",negativo
"—No, no se va a tumbar, se va a echar un poco sobre su hombro un poco amodorrado—. ¿Que lees?",negativo
"—No me cierro contigo. Tu tampoco me cuentas tus fantasias conmigo. Respondio, mas su tono era calmo. Sin reproche alguno. Continuaba acariciando la cabeza de aquel Beagle que, entre los brazos de su dueño con el cual compartia una increible conexion, quedaba amodorrado y >",negativo
Osea q lo unico q no tenia adormecido Stephen Hawking era el cerebro y la pinchila,negativo
-Estiramientos dragontinos. Se siente un poco adormecido aun-,negativo
"El Estatuto de Oposicion quedo consignado en la Constitucion del 91 y pasaron muchos años adormecido por la clase politiquera enquistada en el congreso, hasta que el Partido Comunes, hace 6 años o mas, lo devolvio a la vida juridica, para que opere y no para violarlo. Ojo Acevedo",negativo
"Estamos criando a niños de azucar. Criaturas que no soportan la frustracion cuando algo no sale bien. No los dejamos que se enfaden, que se indignen, no les decimos NO. Y luego nos quejamos de adolescentes que se suicidan, que se conviertan en ninis. Hemos adormecido sus sentidos",negativo
"Hace aproximadamente cinco meses que no me sentia asi, con el dolor adormecido, sin alma.",negativo
No estoy borracho pero si estoy bien adormecido jajaja,negativo
estoy adormecido,negativo
"Mi corazon en estos momentos esta adormecido, no siento ninguna emocion como antes, me siento vacio no estoy ni feliz ni triste, solo estoy emocionalmente agotado y cansado.",negativo
Hasta si soy un perro salchicha soy dormilon,negativo
si el pito empuja entonces pite,negativo
"Le quise sacar a Apolo una foto con papa Noel Y SE DURMIO, hoy le quise sacar una foto con los reyes magos Y TAMBIEN SE DURMIO. Cuando sea mas grande y me pregunte porque no tiene esos recuerdos le voy a decir que porque era un dormilon.",negativo
"Me he hecho tan dormilon estos dias, el problema que sera despertarme para irme a trabajar.",negativo
"La rabia de malek que juliana parece un osito dormilon como yo jajaja, nunca queremos salir a ningun lado, no la queremos pasar arrunchaditasss",negativo
Che toy para un #HerniARiver a ver si se despierta el dormilon de @JorgeBrito,negativo
"se fue a dormir temprano que porque estaba cansado y se quedo en ig como hasta las 4 am, mi dormilon favorito",negativo
Me caga tener un novio dormilon,negativo
Con este dia nublado solo soy un monito dormilon que quiere regaloneo y comida,negativo
Dios mio llamenme corroncho pero la musica de Binomio de Oro es de lo mejor del mundo quiero poner osito dormilon de alarma y si tu amor no vuelve de ringtone.,negativo
Recien pude entrar y ya esta todo agotado ??,negativo
"Hoy ! SI, justo hoy tuve turno en el dentista, ya sabia que la cita tardaria 1:30hs maso yo antes de ir entre a fila de espera por la entrada de flor. Sali del consultorio cuando me habilitan para ingresar SE HABIA AGOTADO. GRACIAS UNIVERSO T ODIO????????",negativo
6 horas haciendo fila para que este AGOTADO. AVISAME ANTES HERMANO,negativo
La de dejar ir amistades se la saben? Porque toy agotado,negativo
"pero weon la cruz verde no tiene stock online de nada, todo agotado que chucha",negativo
"Todo el dia intentando compras las entradas para floricienta, obviamente fue imposible. Todo agotado????????",negativo
"Segun yo, no estaba tan agotado hoy.. pero dormi como una piedra... espero q hoy el trabajo sea mas chill.",negativo
Estoy agotado tras haber trabajado todo el fokin dia,negativo
El debido proceso debe ser agotado,negativo
MAS DE UNA HORAAAAA!!! yo me invente todo un cuento de hadas pero al final nos gano esa bruja tan cruel (entre y ya se habian agotado las entradas) #Floricienta,negativo
"De verdad, ya es cansado... ellos son los primeros en decirme ""no creas todo lo que dicen por internet"" ellos: *mandan cadenas de mensajes que si que pueden ser dañinos* yo: PERO....",negativo
Salgo re cansado del laburo pero llegar a casa y que me esten esperando mi hermosa mujer y nuestro chanchito no tiene precio,negativo
Soy un soñador y por nada me detengo,negativo
"Sin la siguiente estrofa, Pobre Soñador del Tri seria la cancion perfecta: ""Tu me haces sentir en un jugo de beisbol, me ponchas y me haces batear de jonron""",negativo
Solo se cosecha lo que se planto.. por eso me dicen que soy un soñador,negativo
"Soy un soñador, pero dormido no estoy!",negativo
Terco desde peque porque soy un soñador y por nada me detengo,negativo
"Hace unos años hice la correccion de estilo a una tesis de doctorado de filosofia… sobre Heidegger. Grandes partes de la tesis estaban copiadas directamente de libros. Le dije al autor y me dijo que asi se hacian las tesis. La verdad me sorprendi, pero veo que tenia razon.",negativo
Laa mejores roscas son las roscas rellenas de la pasteleria Suiza en la Condechi. Ustedes que son pobres se pelean por las del COSTCO,negativo
Alguien que resuelva plsss,negativo
Lo malo de ver la pelicula de Simbad es recordar que Sari Soñador de Mares es un libro que existe,negativo
Que ganas de una miche eh,negativo
la mayor parte del tiempo me culpo por sentir mucho absolutamente todo y olvido la partecita linda de que gracias a tener la capacidad de sentir puedo desbordar tanto amor y sip trato de ver el lado bueno de tener un corazon sensible ok,positivo
mal dia para hacerme esto ando muy sensible y ya llore 3 horas,positivo
"Estoy muy sensible hoy, todo me afecta",positivo
Soy muy sensible para esta vida,positivo
no me gusta andar tan sensible????,positivo
"BASTAA ?? Estoy sensible y me salio el video de una arañita bonita que la querian pisar y dice ""lo siento, no sabia que por ser vista me costaria la vida"" ????????",positivo
"Ando demasiado sensible, para estar soportando gente pendeja",positivo
deberia de bajar 5 kilos en un dia,positivo
Ptm que sensible soy,positivo
A la mujer que me robo de una mirada mi sensible corazon,positivo
Mi cuñado es el mas atento ??????,positivo
"team Leon pq era mas lindo q tomas ademas tenia facha d ""malo""y era re atento y tomas parecia de esos q se hacian los buenitos y los tiernos y en realidad quieren romperte el corazon en mil pedazos y Diego era un rockero con mal gusto",positivo
